ArtefactID,Object,SiteName,Country,Length,BladeWidth,ButtWidth,MaxThick,Weight
ID8058,adze-chisel (palstave),North Owersby,England,146,16,16,25,165
ID8059,adze-chisel (palstave),"Belton, Sandtoft",England,124,23,9,23,120
ID11182,axe-chisel (flanged),Southwick,England,67.26,28.87,16.45,9.37,55.8
ID859,axe-chisel (flanged),Salhouse,England,77.5,29,13,14,85
ID1317,axe-chisel (flanged),Penllyn (community),Wales,79.9,25.6,13,10.9,56.8
ID1609,axe-chisel (flanged),Nether Wallop (parish),England,49.2,14.8,5.5,3.8,7.91
ID11569,axe-chisel (flanged),Lympstone (parish),England,64.9,25.1,18.2,10.7,78.52
ID4797,axe-chisel (flanged),Longmanhill,Scotland,95,28,19,14,95
ID1695,axe-chisel (flanged),Langham (parish),England,92.4,34.82,16.9,14,123.69
ID11143,axe-chisel (flanged),Blakenhall,England,116,44.8,24,27.2,151.3
ID939,axe-chisel (flanged),Barrington,England,61,32,17.5,16,76.4
ID8400,axe-chisel (flanged/palstave),Netherhampton (Salisbury hoard),England,82,20,14.5,12.5,62.5
ID2867,axe-chisel (flanged/palstave),"Ilsington, Horridge Common",England,129,28,22,18,152.5
ID9870,axe-chisel (flanged/palstave),Codford (parish),England,71.6,18,10.6,12,28.65
ID636,axe-chisel (flat),"unprovenanced, Caithness?",Scotland,102,43,21,9,140
ID1431,axe-chisel (flat),Stourpaine (parish),England,93.38,36.84,15.4,6.12,71.22
ID308,axe-chisel (flat),Port Murray (The Maidens),Scotland,90,31,19,6,70
ID309,axe-chisel (flat),Port Murray (The Maidens),Scotland,95,42,16,6.5,110
ID11094,axe-chisel (flat),Newton Poppleford and Harpford,England,91.9,38.7,17.5,8.2,113
ID11097,axe-chisel (flat),Maer,England,48.7,19.7,8.8,5.6,18.5
ID1485,axe-chisel (flat),Kirkham (parish),England,90,36,9,7,86
ID11577,axe-chisel (flat),Hyde Lea (parish),England,46.5,21.1,11.9,6,23.5
ID1404,axe-chisel (flat),Halkyn (community),Wales,95,39,16,6,82.3
ID9831,axe-chisel (flat),Goole Fields (parish),England,71.2,29.7,17,7.4,55
ID9817,axe-chisel (flat),Froxfield (parish),England,76.7,28.8,9,5.2,38.71
ID9809,axe-chisel (flat),Fressingfield (parish),England,70.57,32.11,14.5,8.8,59.74
ID1726,axe-chisel (flat),"Farnham, Green Lane Sewage Works",England,76,34.7,14,7.2,66
ID1512,axe-chisel (flat),Edwinstowe (parish),England,75.7,30.7,15.5,5.5,45.96
ID11095,axe-chisel (flat),Eccleshall,England,80.7,34.3,17.1,8.6,77.7
ID11093,axe-chisel (flat),Cullompton,England,83.1,29.9,14.9,5.6,46.5
ID11102,axe-chisel (flat),Combpyne Rousdon,England,66.3,19.4,19.4,5.3,68.7
ID8896,axe-chisel (flat),Coity Higher (community),Wales,110.6,44.6,14.8,6.1,84.4
ID11605,axe-chisel (flat),Broadwindsor (parish),England,61.28,24.92,11,8.5,48.54
ID8901,axe-chisel (flat),Bontnewydd (community),Wales,73.4,33.6,16,7.3,61.7
ID1422,axe-chisel (flat),Bonby (parish),England,71,32,14,4,39.9
ID8991,axe-chisel (flat),"Bedlinog, Gelligaer Common",Wales,74,32,18.5,7,61.3
ID651,axe-chisel (flat),Atwick,England,72,32,16.5,7.5,71
ID1557,axe-chisel (flat),Aikton (parish),England,76,33,18,5,63.07
ID11817,axe-chisel (flat)?,Deighton,England,79,32,15,14,78
ID1318,axe-chisel (flat/flanged),Westham (parish),England,63.7,28.7,11,6.7,38.3
ID1319,axe-chisel (flat/flanged),Rudgwick (parish),England,67.8,31.4,15.7,9.4,63.79
ID736,axe-chisel (flat/flanged),"Mildenhall, Holywell Row",England,65,29.5,14,7,33.3
ID852,axe-chisel (flat/flanged),"Llanddyfnan, Ty?ôn-y-pwll",Wales,79,26.5,13,5.5,33.4
ID6735,axe-chisel (flat/flanged),Lakenheath,England,98.5,27.3,12.5,7.3,64
ID1437,axe-chisel (flat/flanged),Horton-cum-Peel (parish),England,65,22.5,15,6.5,42.9
ID1324,axe-chisel (flat/flanged),Hemingby (parish),England,83,37.1,19.7,6,87.4
